meter_id,customer_id,location,latitude,longitude,status,last_reading,communication_status,installation_date,meter_type
MTR-0045,CUST-1045,Sumqayit Central,40.583004,49.633621,active,10491.6,online,2019-04-27,commercial
MTR-0046,CUST-1046,Baku Commercial Hub,40.39049,49.879616,active,479.2,online,2021-06-09,smart
MTR-0047,CUST-1047,Binagadi District,40.462007,49.811374,warning,4916.2,intermittent,2020-01-04,commercial
MTR-0048,CUST-1048,Mingachevir East,40.758357,47.093876,active,1479.2,online,2020-12-26,smart
MTR-0049,CUST-1049,Shirvan Central,39.936092,48.934527,active,10814.2,online,2020-01-23,smart
MTR-0050,CUST-1050,Absheron East,40.405051,49.992767,active,8689.3,online,2023-11-07,industrial
MTR-0051,CUST-1051,Shamakhi,40.627939,48.653466,active,3904.2,online,2023-05-17,smart
MTR-0052,CUST-1052,Ganja South,40.680007,46.334785,warning,6742.1,intermittent,2021-11-13,smart
MTR-0053,CUST-1053,Nizami District,40.379465,49.822028,active,3785.7,online,2021-10-20,smart
MTR-0054,CUST-1001,Shirvan Central,39.93695,48.918265,active,5783.6,online,2019-11-03,industrial
MTR-0055,CUST-1002,Ganja North,40.692464,46.373988,active,9857.4,online,2019-11-10,residential
MTR-0056,CUST-1003,Sumqayit South,40.586197,49.607421,active,11810.4,online,2024-02-15,commercial
MTR-0057,CUST-1004,Khirdalan,40.464584,49.75727,inactive,4730.9,offline,2019-03-21,smart
MTR-0058,CUST-1005,Nasimi District,40.38678,49.852813,active,5216.7,intermittent,2024-12-17,smart
MTR-0059,CUST-1006,Baku Commercial Hub,40.381507,49.862476,active,1773.4,online,2023-09-18,smart
MTR-0060,CUST-1007,Bayil District,40.347519,49.848658,active,9817.1,online,2021-09-15,commercial
MTR-0061,CUST-1008,Khazar District,40.52031,49.99924,active,3117.4,intermittent,2020-09-16,industrial
MTR-0062,CUST-1009,Sumqayit Central,40.583238,49.612325,active,3406.2,online,2022-02-05,smart
MTR-0063,CUST-1010,Pirallahi District,40.476938,50.055818,inactive,957.9,offline,2020-09-15,smart
MTR-0064,CUST-1011,Khirdalan,40.439868,49.764987,active,7092.1,intermittent,2018-10-13,industrial
MTR-0065,CUST-1012,Old Town Baku,40.351177,49.832553,error,10270.7,offline,2022-12-24,smart
MTR-0066,CUST-1013,Ramana,40.458996,49.921934,active,3420.6,online,2018-07-11,commercial
MTR-0067,CUST-1014,Masazir,40.501725,49.770215,active,6502.7,online,2022-10-22,smart
MTR-0068,CUST-1015,Yasamal District,40.370518,49.832858,active,793.4,online,2020-04-15,smart
MTR-0069,CUST-1016,Shirvan Central,39.933125,48.931389,active,11424.2,intermittent,2020-02-16,smart
MTR-0070,CUST-1017,Yasamal District,40.390471,49.821563,active,7871.7,online,2023-01-25,residential
MTR-0071,CUST-1018,Yasamal District,40.396488,49.825981,active,1998.1,online,2021-11-04,smart
MTR-0072,CUST-1019,Heydar Aliyev Zone,40.423433,49.870951,active,4553.0,intermittent,2022-12-23,commercial
MTR-0073,CUST-1020,Sabunchi District,40.450334,49.916913,active,7028.5,online,2022-11-13,smart
MTR-0074,CUST-1021,Masazir,40.508244,49.75095,active,10000.7,online,2018-12-25,smart
MTR-0075,CUST-1022,Ganja South,40.685509,46.343012,active,9435.1,online,2022-07-22,smart
MTR-0076,CUST-1023,Shamakhi,40.617069,48.644426,active,9903.5,online,2021-06-21,smart
MTR-0077,CUST-1024,Baku Commercial Hub,40.401219,49.868065,inactive,11592.6,offline,2022-09-25,smart
MTR-0078,CUST-1025,Old Town Baku,40.364946,49.846772,active,4003.2,online,2024-02-09,smart
MTR-0079,CUST-1026,Baku Industrial Zone,40.332316,49.858941,active,4672.1,online,2021-06-06,smart
MTR-0080,CUST-1027,Bibi-Heybat,40.301364,49.828935,active,10587.8,online,2020-09-01,industrial
MTR-0081,CUST-1028,Buzovna,40.573442,50.087568,inactive,5965.2,offline,2019-12-16,residential
MTR-0082,CUST-1029,Bibi-Heybat,40.308445,49.805517,active,4971.9,online,2020-11-19,smart
MTR-0083,CUST-1030,Shamakhi,40.629198,48.640928,active,6694.6,intermittent,2023-08-09,smart
MTR-0084,CUST-1031,Ganja South,40.667542,46.32862,active,1610.7,online,2024-12-06,commercial
MTR-0085,CUST-1032,Lokbatan,40.311492,49.749526,inactive,11724.0,offline,2022-05-04,commercial
MTR-0086,CUST-1033,Lokbatan,40.313887,49.745826,active,8554.6,online,2020-01-02,smart
MTR-0087,CUST-1034,Balakhani,40.458764,49.948323,warning,5992.4,online,2022-05-16,smart
MTR-0088,CUST-1035,Old Town Baku,40.364214,49.827531,active,11304.6,online,2018-02-13,commercial
MTR-0089,CUST-1036,Bibi-Heybat,40.297222,49.823883,active,1960.5,online,2020-02-08,commercial
MTR-0090,CUST-1037,Sabunchi District,40.443742,49.924485,active,2863.1,online,2021-08-15,commercial
MTR-0091,CUST-1038,Ganja South,40.685805,46.354701,active,7528.1,online,2023-02-25,commercial
MTR-0092,CUST-1039,Sumqayit North,40.601765,49.624939,active,3030.4,online,2018-03-01,commercial
MTR-0093,CUST-1040,Khirdalan,40.451515,49.757814,active,2931.4,online,2020-12-28,industrial
MTR-0094,CUST-1041,Baku Commercial Hub,40.382135,49.862003,active,7159.5,online,2021-02-18,smart
MTR-0095,CUST-1042,Sumqayit South,40.581429,49.630252,active,903.7,online,2022-12-27,smart
MTR-0096,CUST-1043,Heydar Aliyev Zone,40.422636,49.870175,active,3788.3,online,2020-09-18,smart
MTR-0097,CUST-1044,Bibi-Heybat,40.308133,49.822941,active,4003.4,intermittent,2018-02-08,smart
MTR-0098,CUST-1045,Heydar Aliyev Zone,40.412614,49.857622,error,9892.8,intermittent,2018-03-16,commercial
MTR-0099,CUST-1046,Buzovna,40.564545,50.112482,active,5343.4,online,2018-08-12,commercial
MTR-0100,CUST-1047,Khirdalan,40.447999,49.760104,active,5057.4,online,2020-11-13,commercial
MTR-0101,CUST-1048,Balakhani,40.451101,49.922642,active,1567.9,online,2021-09-27,residential
MTR-0102,CUST-1049,Nasimi District,40.37973,49.843278,active,2413.5,online,2022-08-21,smart
MTR-0103,CUST-1050,Baku Industrial Zone,40.3478,49.851107,active,11146.5,online,2023-08-04,smart
MTR-0104,CUST-1051,Yasamal District,40.397194,49.838266,active,2068.9,online,2018-09-14,commercial
MTR-0105,CUST-1052,Surakhani District,40.423741,49.955242,active,11375.3,online,2024-03-16,industrial
MTR-0106,CUST-1053,Ganja North,40.692266,46.363203,active,3076.0,online,2019-07-07,commercial
MTR-0107,CUST-1001,Bayil District,40.353247,49.85238,active,9317.6,online,2020-09-09,smart
MTR-0108,CUST-1002,Nasimi District,40.368485,49.835957,active,11987.0,online,2024-03-15,commercial
MTR-0109,CUST-1003,Ramana,40.44953,49.904973,error,4651.1,offline,2024-04-23,smart
MTR-0110,CUST-1004,Sumqayit Central,40.592154,49.617007,error,715.0,offline,2021-12-26,residential
MTR-0111,CUST-1005,Barda,40.371582,47.142911,warning,6044.9,intermittent,2019-09-19,smart
MTR-0112,CUST-1006,Lankaran,38.764091,48.862226,active,6406.2,online,2018-12-05,smart
MTR-0113,CUST-1007,Khirdalan,40.464128,49.769099,active,9422.0,online,2020-10-23,smart
MTR-0114,CUST-1008,Masazir,40.499495,49.770553,warning,4684.1,intermittent,2023-12-25,smart
MTR-0115,CUST-1009,Bibi-Heybat,40.321171,49.806077,active,7647.7,online,2019-12-03,smart
MTR-0116,CUST-1010,Absheron East,40.43435,49.987811,inactive,5435.4,offline,2020-01-02,industrial
MTR-0117,CUST-1011,Shirvan Central,39.946884,48.913801,active,1917.7,online,2021-10-22,commercial
MTR-0118,CUST-1012,Nizami District,40.3661,49.815369,active,8261.0,online,2022-03-08,commercial
MTR-0119,CUST-1013,Baku Commercial Hub,40.399137,49.868787,warning,10807.1,intermittent,2020-11-18,smart
MTR-0120,CUST-1014,Khazar District,40.500216,50.013357,active,7739.5,online,2023-05-15,smart
MTR-0121,CUST-1015,Ganja South,40.665977,46.336541,active,2999.0,online,2020-10-10,commercial
MTR-0122,CUST-1016,Ganja North,40.677658,46.379901,active,295.6,online,2024-12-02,industrial
MTR-0123,CUST-1017,Bayil District,40.360355,49.850985,active,9626.5,intermittent,2024-06-08,commercial
MTR-0124,CUST-1018,Lokbatan,40.323627,49.755333,inactive,7978.3,offline,2023-02-21,smart
MTR-0125,CUST-1019,Sabail District,40.357268,49.832225,active,8841.8,online,2020-06-24,smart
MTR-0126,CUST-1020,Khirdalan,40.443269,49.743965,active,6464.1,online,2024-03-09,smart
MTR-0127,CUST-1021,Old Town Baku,40.380022,49.830854,active,5726.3,online,2019-04-28,smart
MTR-0128,CUST-1022,Masazir,40.509018,49.769138,active,9530.0,online,2020-09-04,smart
MTR-0129,CUST-1023,Baku Commercial Hub,40.391058,49.87747,active,4696.1,online,2020-02-22,industrial
MTR-0130,CUST-1024,Sumqayit South,40.576144,49.621586,active,11000.0,online,2023-02-21,smart
MTR-0131,CUST-1025,Baku Commercial Hub,40.407282,49.864066,active,1849.4,online,2020-08-04,smart
MTR-0132,CUST-1026,Narimanov District,40.405044,49.866126,active,4577.9,online,2023-09-14,residential
MTR-0133,CUST-1027,Port Authority,40.362268,49.844636,active,1368.5,online,2022-07-09,commercial
MTR-0134,CUST-1028,Sabail District,40.368708,49.825518,active,10294.3,online,2023-06-18,smart
MTR-0135,CUST-1029,Sheki,41.176817,47.163276,active,1281.7,online,2023-11-20,smart
MTR-0136,CUST-1030,Yasamal District,40.369517,49.830005,active,2621.4,online,2022-04-19,residential
MTR-0137,CUST-1031,Sumqayit North,40.607392,49.62399,error,9506.0,offline,2018-05-28,commercial
MTR-0138,CUST-1032,Pirallahi District,40.499626,50.051206,active,8000.5,online,2019-01-12,smart
MTR-0139,CUST-1033,Sumqayit Central,40.592666,49.610473,active,1695.8,online,2022-02-24,smart
MTR-0140,CUST-1034,Binagadi District,40.447287,49.826341,active,1486.8,online,2019-10-02,commercial
MTR-0141,CUST-1035,Buzovna,40.554049,50.1043,active,11983.3,online,2021-11-04,smart
MTR-0142,CUST-1036,Bibi-Heybat,40.316372,49.818307,active,7377.9,online,2019-05-20,smart
MTR-0143,CUST-1037,Port Authority,40.356451,49.849756,active,3679.8,online,2022-07-04,commercial
MTR-0144,CUST-1038,Sabunchi District,40.452584,49.931527,error,8705.9,offline,2021-08-08,smart
MTR-0145,CUST-1039,Khirdalan,40.448168,49.753605,active,1322.0,intermittent,2020-11-09,smart
MTR-0146,CUST-1040,Shamakhi,40.643608,48.645605,active,1276.5,online,2018-07-04,smart
MTR-0147,CUST-1041,Shamakhi,40.639353,48.641691,active,6827.9,online,2018-07-12,industrial
MTR-0148,CUST-1042,Absheron East,40.431043,49.986632,active,3886.9,online,2022-09-07,smart
MTR-0149,CUST-1043,Pirallahi District,40.489702,50.041727,active,10175.4,online,2018-05-19,smart
MTR-0150,CUST-1044,Sumqayit South,40.586217,49.628355,error,7440.2,offline,2022-01-20,industrial
MTR-0151,CUST-1045,Mingachevir West,40.740869,47.033198,error,11074.1,offline,2018-03-28,smart
MTR-0152,CUST-1046,Pirallahi District,40.48699,50.047024,active,7671.4,intermittent,2018-12-17,smart
MTR-0153,CUST-1047,Sumqayit North,40.594286,49.630609,active,3877.3,online,2024-10-20,smart
MTR-0154,CUST-1048,Surakhani District,40.4435,49.934667,error,787.2,offline,2020-08-22,smart
MTR-0155,CUST-1049,Absheron East,40.41957,49.978261,active,9108.3,online,2020-07-04,smart
MTR-0156,CUST-1050,Ganja North,40.697347,46.372794,active,3839.3,online,2021-10-02,smart
MTR-0157,CUST-1051,Nasimi District,40.366133,49.85536,error,9217.1,offline,2020-02-01,smart
MTR-0158,CUST-1052,Bibi-Heybat,40.31741,49.810271,active,8503.3,online,2022-11-26,commercial
MTR-0159,CUST-1053,Sheki,41.177162,47.180853,active,421.2,online,2024-06-19,smart
MTR-0160,CUST-1001,Absheron East,40.422202,49.986285,active,1559.0,online,2020-03-26,smart
MTR-0161,CUST-1002,Seaside Terminal,40.358803,49.855688,active,5353.2,online,2019-07-19,smart
MTR-0162,CUST-1003,Masazir,40.495719,49.756873,active,4206.3,intermittent,2024-03-03,smart
MTR-0163,CUST-1004,Mashtaga,40.538997,50.010918,active,4322.6,intermittent,2024-11-27,industrial
MTR-0164,CUST-1005,Pirallahi District,40.477088,50.039393,active,7308.3,online,2024-11-03,residential
MTR-0165,CUST-1006,Nizami District,40.389539,49.831838,active,6852.1,intermittent,2021-11-19,commercial
MTR-0166,CUST-1007,Seaside Terminal,40.354696,49.864129,active,5389.2,online,2021-11-10,commercial
MTR-0167,CUST-1008,Mingachevir West,40.757743,47.035558,active,5648.6,online,2018-06-27,smart
MTR-0168,CUST-1009,Ganja North,40.679302,46.380928,active,7210.1,online,2021-10-18,smart
MTR-0169,CUST-1010,Sabail District,40.361492,49.843294,warning,3994.0,intermittent,2022-03-02,commercial
MTR-0170,CUST-1011,Baku Industrial Zone,40.328105,49.871974,active,1195.1,online,2019-01-08,industrial
MTR-0171,CUST-1012,Baku Industrial Zone,40.35473,49.860722,active,4494.0,online,2021-07-25,smart
MTR-0172,CUST-1013,Lankaran,38.758367,48.837571,warning,4148.9,online,2018-09-22,smart
MTR-0173,CUST-1014,Barda,40.368524,47.144712,warning,10504.7,online,2018-10-22,smart
MTR-0174,CUST-1015,Pirallahi District,40.497502,50.044307,warning,8013.2,online,2022-12-03,smart
MTR-0175,CUST-1016,Ganja South,40.676768,46.344305,active,8107.4,online,2023-09-03,industrial
MTR-0176,CUST-1017,Absheron East,40.420255,49.965547,active,11423.8,online,2024-08-07,smart
MTR-0177,CUST-1018,Sumqayit South,40.591999,49.607648,active,6190.7,online,2024-12-17,commercial
MTR-0178,CUST-1019,Sabail District,40.367858,49.845292,active,7247.5,online,2019-03-27,smart
MTR-0179,CUST-1020,Seaside Terminal,40.369271,49.839966,active,5048.1,online,2023-04-15,industrial
MTR-0180,CUST-1021,Seaside Terminal,40.353548,49.857456,active,6501.3,online,2024-08-27,smart
MTR-0181,CUST-1022,Lokbatan,40.316035,49.763414,active,9279.4,online,2021-09-17,residential
MTR-0182,CUST-1023,Khirdalan,40.466988,49.764507,active,10501.4,online,2023-08-28,smart
MTR-0183,CUST-1024,Shamakhi,40.631636,48.628078,active,3563.7,online,2019-05-15,residential
MTR-0184,CUST-1025,Mashtaga,40.52442,50.008124,active,10638.6,online,2021-01-13,smart
MTR-0185,CUST-1026,Mashtaga,40.531219,50.006585,active,2849.6,online,2018-12-21,smart
MTR-0186,CUST-1027,Lankaran,38.761741,48.840128,active,8413.6,online,2024-12-16,smart
MTR-0187,CUST-1028,Baku Industrial Zone,40.34346,49.872176,active,2744.7,online,2022-12-20,smart
MTR-0188,CUST-1029,Buzovna,40.557698,50.108285,active,1637.8,online,2021-11-26,smart
MTR-0189,CUST-1030,Seaside Terminal,40.358713,49.838326,active,6525.4,online,2022-10-08,industrial
MTR-0190,CUST-1031,Pirallahi District,40.478738,50.035047,active,6933.8,online,2023-11-03,smart
MTR-0191,CUST-1032,Buzovna,40.57424,50.08703,active,6186.5,online,2022-01-13,commercial
MTR-0192,CUST-1033,Old Town Baku,40.352306,49.833606,active,9018.3,online,2024-02-12,smart
MTR-0193,CUST-1034,Sumqayit Central,40.596988,49.628848,error,8875.2,offline,2019-01-12,smart
MTR-0194,CUST-1035,Ramana,40.445156,49.914284,error,5682.6,intermittent,2021-11-06,industrial
MTR-0195,CUST-1036,Qaradag District,40.298893,49.998286,active,3662.6,online,2024-04-02,smart
MTR-0196,CUST-1037,Shirvan Central,39.951001,48.920462,active,3189.1,online,2023-04-10,residential
MTR-0197,CUST-1038,Sheki,41.200864,47.156434,warning,3424.0,intermittent,2021-07-24,smart
MTR-0198,CUST-1039,Baku Industrial Zone,40.351839,49.856599,active,8366.4,online,2024-09-09,smart
MTR-0199,CUST-1040,Surakhani District,40.438812,49.932368,active,6636.6,online,2018-02-11,smart
MTR-0200,CUST-1041,Ganja North,40.686195,46.373079,active,8339.2,online,2021-01-24,smart
MTR-0201,CUST-1042,Sheki,41.193446,47.168048,warning,1085.5,intermittent,2021-06-17,industrial
MTR-0202,CUST-1043,Khazar District,40.526584,49.989283,active,9419.5,online,2019-02-08,smart
MTR-0203,CUST-1044,Shamakhi,40.625865,48.653484,active,2010.6,online,2020-06-15,smart
MTR-0204,CUST-1045,Binagadi District,40.450218,49.818884,active,7864.8,online,2018-01-24,smart
MTR-0205,CUST-1046,Nizami District,40.375971,49.82461,active,3289.0,online,2023-08-07,smart
MTR-0206,CUST-1047,Seaside Terminal,40.353567,49.862494,active,1647.1,online,2021-03-23,smart
MTR-0207,CUST-1048,Baku Industrial Zone,40.354918,49.869315,active,4299.6,online,2022-09-10,smart
MTR-0208,CUST-1049,Ganja South,40.685541,46.346354,warning,2254.3,online,2022-04-04,smart
MTR-0209,CUST-1050,Lokbatan,40.328762,49.742102,active,4458.6,online,2020-08-26,commercial
MTR-0210,CUST-1051,Balakhani,40.453893,49.946527,active,4898.3,online,2023-08-17,industrial
MTR-0211,CUST-1052,Khirdalan,40.461075,49.7647,active,11674.1,online,2018-08-15,industrial
MTR-0212,CUST-1053,Buzovna,40.555335,50.111339,error,7749.6,offline,2024-03-14,smart
MTR-0213,CUST-1001,Mashtaga,40.547321,49.996662,active,2005.6,online,2019-06-23,smart
MTR-0214,CUST-1002,Sumqayit South,40.572381,49.631227,active,3157.1,online,2022-05-05,industrial
MTR-0215,CUST-1003,Ganja South,40.678433,46.327803,warning,7183.3,intermittent,2019-03-22,commercial
MTR-0216,CUST-1004,Seaside Terminal,40.366619,49.853154,active,9937.8,online,2018-01-21,smart
MTR-0217,CUST-1005,Heydar Aliyev Zone,40.40294,49.863324,active,7493.7,online,2021-11-18,smart
MTR-0218,CUST-1006,Ganja North,40.696257,46.364063,active,4991.9,online,2018-12-02,smart
MTR-0219,CUST-1007,Khazar District,40.511188,49.999528,active,7358.6,online,2024-12-11,smart
MTR-0220,CUST-1008,Sheki,41.204261,47.158923,active,6827.5,online,2019-08-04,smart
MTR-0221,CUST-1009,Mingachevir West,40.753488,47.029226,active,11355.5,online,2021-04-28,commercial
MTR-0222,CUST-1010,Khazar District,40.522404,50.013013,inactive,2440.0,offline,2021-09-15,smart
MTR-0223,CUST-1011,Bibi-Heybat,40.321372,49.819921,active,6164.2,online,2019-10-12,smart
MTR-0224,CUST-1012,Khatai District,40.376516,49.879847,warning,5752.9,online,2018-02-14,commercial
MTR-0225,CUST-1013,Qaradag District,40.323474,49.996825,error,4518.1,offline,2018-10-18,smart
MTR-0226,CUST-1014,Lokbatan,40.315876,49.743658,active,5514.2,online,2020-10-22,commercial
MTR-0227,CUST-1015,Seaside Terminal,40.348564,49.864252,active,9579.8,online,2022-06-25,smart
MTR-0228,CUST-1016,Pirallahi District,40.475972,50.050274,active,734.6,online,2023-06-26,smart
MTR-0229,CUST-1017,Old Town Baku,40.36658,49.826468,active,4070.0,online,2020-03-13,commercial
MTR-0230,CUST-1018,Seaside Terminal,40.36718,49.843977,active,9973.8,online,2021-12-19,commercial
MTR-0231,CUST-1019,Ganja South,40.674247,46.325499,active,1493.3,online,2022-05-26,smart
MTR-0232,CUST-1020,Yasamal District,40.385907,49.827966,warning,7026.0,online,2023-01-19,smart
MTR-0233,CUST-1021,Old Town Baku,40.356115,49.840871,active,10125.8,intermittent,2024-11-08,smart
MTR-0234,CUST-1022,Sabail District,40.365177,49.840016,active,5404.3,online,2019-07-23,smart
MTR-0235,CUST-1023,Sumqayit North,40.595311,49.640249,active,8783.3,intermittent,2019-09-07,industrial
MTR-0236,CUST-1024,Balakhani,40.459751,49.939867,active,3902.3,online,2021-09-11,smart
MTR-0237,CUST-1025,Ramana,40.445629,49.91816,inactive,7791.0,offline,2020-10-16,industrial
MTR-0238,CUST-1026,Lokbatan,40.33372,49.74337,active,11309.5,online,2024-05-23,smart
MTR-0239,CUST-1027,Sumqayit North,40.603707,49.63167,active,6813.8,online,2020-05-04,industrial
MTR-0240,CUST-1028,Heydar Aliyev Zone,40.415299,49.868391,active,11464.4,online,2020-01-10,smart
MTR-0241,CUST-1029,Surakhani District,40.427391,49.943271,active,5853.1,intermittent,2024-09-09,smart
MTR-0242,CUST-1030,Balakhani,40.470885,49.924118,active,7124.6,intermittent,2018-11-17,smart
MTR-0243,CUST-1031,Sumqayit South,40.581138,49.604575,active,8664.8,online,2023-03-01,smart
MTR-0244,CUST-1032,Balakhani,40.479337,49.924738,warning,5833.9,intermittent,2024-05-11,smart
MTR-0245,CUST-1033,Ganja North,40.696377,46.382238,active,6974.8,online,2023-12-28,commercial
MTR-0246,CUST-1034,Sabail District,40.375397,49.824252,active,11966.6,online,2024-08-06,smart
MTR-0247,CUST-1035,Ganja North,40.703302,46.355278,active,1466.1,online,2020-08-21,smart
MTR-0248,CUST-1036,Ramana,40.45073,49.921678,active,5722.6,online,2024-02-11,smart
MTR-0249,CUST-1037,Khazar District,40.519934,50.004449,inactive,366.2,offline,2024-05-19,smart
MTR-0250,CUST-1038,Lokbatan,40.310265,49.760684,active,6280.3,online,2021-11-04,smart
MTR-0251,CUST-1039,Nizami District,40.390451,49.827324,active,3277.3,online,2021-05-11,smart
MTR-0252,CUST-1040,Ganja South,40.677474,46.342186,active,4442.7,online,2018-11-04,smart
MTR-0253,CUST-1041,Baku Commercial Hub,40.389204,49.867162,active,9284.1,online,2018-11-10,industrial
MTR-0254,CUST-1042,Shamakhi,40.633439,48.631574,active,2007.6,online,2022-06-14,residential
MTR-0255,CUST-1043,Balakhani,40.477384,49.942721,warning,9189.9,intermittent,2024-10-28,industrial
MTR-0256,CUST-1044,Surakhani District,40.432765,49.945845,active,11023.5,online,2018-09-17,smart
MTR-0257,CUST-1045,Lokbatan,40.322181,49.739496,active,5413.7,online,2019-12-19,industrial
MTR-0258,CUST-1046,Bibi-Heybat,40.297728,49.820311,active,1756.9,online,2021-10-02,smart
MTR-0259,CUST-1047,Balakhani,40.463871,49.944207,inactive,4872.2,offline,2023-04-19,smart
MTR-0260,CUST-1048,Binagadi District,40.434359,49.813336,active,11930.7,online,2021-01-10,smart
MTR-0261,CUST-1049,Khirdalan,40.443399,49.744063,warning,7821.4,online,2020-07-15,smart
MTR-0262,CUST-1050,Barda,40.371269,47.143482,warning,1769.3,intermittent,2018-03-18,smart
MTR-0263,CUST-1051,Masazir,40.495865,49.766836,active,9122.9,online,2021-11-24,smart
MTR-0264,CUST-1052,Ramana,40.447724,49.906378,active,5635.4,online,2020-04-24,smart
MTR-0265,CUST-1053,Sabunchi District,40.427967,49.931806,active,11247.6,intermittent,2019-04-03,smart
MTR-0266,CUST-1001,Narimanov District,40.415818,49.863393,warning,10492.1,online,2023-01-13,smart
MTR-0267,CUST-1002,Baku Industrial Zone,40.33203,49.851518,error,1853.6,offline,2019-12-19,smart
MTR-0268,CUST-1003,Shirvan Central,39.940324,48.928176,active,3760.8,online,2023-09-08,smart
MTR-0269,CUST-1004,Khirdalan,40.447015,49.741829,active,10956.6,intermittent,2023-07-18,industrial
MTR-0270,CUST-1005,Bibi-Heybat,40.296407,49.815332,warning,4697.6,online,2020-12-14,commercial
