workorder_id,asset_id,crew_id,status,priority,assigned_time,estimated_resolution_time,actual_resolution_time,location,type,latitude,longitude,city
WO-024,AST-036,CRW-C,in_progress,critical,2024-01-18T09:30:00Z,2024-01-18T15:30:00Z,,Bibi-Heybat,repair,40.65,47.94,Goychay Corridor
WO-025,AST-044,CRW-C,assigned,high,2024-01-18T08:15:00Z,2024-01-18T14:15:00Z,,Mashtaga Zone,repair,40.58,48.08,Goychay Corridor
WO-026,AST-050,CRW-C,pending,medium,2024-01-18T07:45:00Z,2024-01-18T13:45:00Z,,Balakhani Junction,repair,40.71,48.22,Goychay Corridor
WO-027,AST-021,CRW-C,pending,low,2024-01-18T10:30:00Z,2024-01-18T18:30:00Z,,Absheron East,repair,40.44,47.87,Goychay Corridor
WO-028,AST-027,CRW-C,in_progress,critical,2024-01-18T11:30:00Z,2024-01-18T19:30:00Z,,University Area,repair,40.50,48.31,Goychay Corridor
WO-029,AST-040,CRW-D,assigned,high,2024-01-18T12:30:00Z,2024-01-19T12:30:00Z,,Heydar Aliyev Center,maintenance,40.62,48.55,Shirvan Midland
WO-030,AST-046,CRW-D,in_progress,critical,2024-01-18T13:30:00Z,2024-01-19T13:30:00Z,,Lokbatan Cluster,maintenance,40.42,48.71,Shirvan Midland
WO-031,AST-048,CRW-D,pending,medium,2024-01-18T14:00:00Z,2024-01-19T06:00:00Z,,Shirvan West,maintenance,40.30,48.47,Shirvan Midland
WO-032,AST-022,CRW-D,assigned,low,2024-01-18T14:30:00Z,2024-01-19T08:00:00Z,,Shirvan North,maintenance,40.74,48.62,Shirvan Midland
WO-033,AST-035,CRW-D,in_progress,high,2024-01-18T15:00:00Z,2024-01-19T03:00:00Z,,Shirvan Central,maintenance,40.68,48.38,Shirvan Midland
WO-034,AST-043,CRW-E,in_progress,critical,2024-01-18T04:00:00Z,2024-01-18T10:00:00Z,,Khankendi Main,emergency,39.82,46.75,Khankendi
WO-035,AST-049,CRW-E,assigned,high,2024-01-18T04:45:00Z,2024-01-18T10:45:00Z,,Khankendi East,emergency,39.88,46.81,Khankendi
